Comment,Sentiment,text_length,clean_text
Speed can tolerate any thing but ronaldo,Neutral,40,speed tolerate thing ronaldo
I've subscribed for over years,Positive,30,ive subscribed years
Speed: kicks the ball W speed,Positive,29,speed kicks ball w speed
W Khaled he was just enjoying,Positive,29,w khaled enjoying
This is the closest thing to men vs gorilla,Neutral,43,closest thing men vs gorilla
pure delusion lol,Neutral,17,pure delusion lol
Aloo Khaoge,Neutral,11,aloo khaoge
Speed's comeback was crazy,Positive,26,speeds comeback crazy
"Wow, this video is so crazy bro!",Positive,32,wow video crazy bro
The candler curves is insane.,Positive,29,candler curves insane
grass vs gamers now,Neutral,19,grass vs gamers
"chandler homeruns, chandler curve shots, chandler perfect lobs..... how talented is this fella",Positive,94,chandler homeruns chandler curve shots chandler perfect lobs talented fella
Hard work are changing your badluck,Positive,35,hard work changing badluck
You're greatly underestimating the force needed to resist and also overcome the friction of people all other things aside,Neutral,121,youre greatly underestimating force needed resist also overcome friction people things aside
Chandler aura farmed.,Positive,21,chandler aura farmed
“You Worried You Might Break It?” Is Crazy,Neutral,42,worried might break crazy
The aura Speed generated with that comeback is too insane.,Positive,58,aura speed generated comeback insane
Happy diwali guys,Neutral,17,happy diwali guys
‘’Another one’’,Neutral,15,another one
big disrespect to speed,Negative,23,big disrespect speed
There is a BIG child there,Neutral,26,big child
Nice shot,Positive,9,nice shot
Bro summoned the power of all the famous basketball players.,Positive,60,bro summoned power famous basketball players
pekkas vs skeletons ahh video,Neutral,29,pekkas vs skeletons ahh video
"Bring smokers and put them in a room for days, and provide them with packs of cigarettes — the last one to resist smoking wins the prize.",Neutral,137,bring smokers put room days provide packs cigarettes last one resist smoking wins prize
bro turned into Erwin Smith,Neutral,27,bro turned erwin smith
"I was really entertained by your content, when I was off work. (Aku sangat terhibur dengan conten-contenmu, saat aku libur kerja).",Positive,130,really entertained content work aku sangat terhibur dengan contencontenmu saat aku libur kerja
DJ KHaleed grasping the circuit is phenomenal,Positive,45,dj khaleed grasping circuit phenomenal
"WE ARE AURA"""" Got me""",Positive,21,aura got
"Chandler in Million golf shot was insane"""" Now: Then: Always:""",Neutral,62,chandler million golf shot insane always
dude chandler is legit the coolest man ever,Positive,43,dude chandler legit coolest man ever
"""WE THE BEST"" ",Positive,14,best
the little mouth twitch,Neutral,23,little mouth twitch
Chandler breaking the losing curse as usual,Positive,43,chandler breaking losing curse usual
"Chandler is legends golfBall""""️ Then: Now: Always:""",Neutral,51,chandler legends golfball always
Crazy a regular dude with the first world fastest woman without experience,Positive,74,crazy regular dude first world fastest woman without experience
And people really thought a gorilla would be able to beat grown men.,Neutral,68,people really thought gorilla would able beat grown men
Not even the strongest man in the world,Negative,39,even strongest man world
And they say Men can't beat a gorilla,Neutral,37,say men cant beat gorilla
That's was really unexpected!,Positive,29,thats really unexpected
“Do you do track?” “No.” “You probably should!”,Neutral,47,track probably
Very glad to see Brian in your videos. WE WANT MORE BRIAN SHAWWW BABYYYYYY!!,Positive,76,glad see brian videos want brian shaw baby
skeletons vs pekkas,Neutral,19,skeletons vs pekkas
"Where’s the “ hours inside a giant pumpkin""?",Neutral,44,wheres hours inside giant pumpkin
We just need more videos with Chandler. Is the goat,Positive,51,need videos chandler goat
wow,Neutral,3,wow
ISHOWSPEED COMEBACK ITS INSANE,Positive,30,ishowspeed comeback insane
comebacks,Positive,9,comebacks
got me dying bro,Positive,16,got dying bro
Congrat's for predicting six seven!,Positive,35,congrats predicting six seven
next video: man vs gorilla,Neutral,26,next video man vs gorilla
Chandler has too much aura,Positive,26,chandler much aura
It just shows how numbers and teamwork can easily beat strength,Positive,63,shows numbers teamwork easily beat strength
imposter,Neutral,8,imposter
coughing babies vs hydrogen bombs,Neutral,33,coughing babies vs hydrogen bombs
Now do cop vs million donuts,Neutral,28,cop vs million donuts
bro was just happy to be there,Neutral,30,bro happy
“Another one”,Neutral,13,another one
Amazing video as always,Positive,23,amazing video always
The curve on chandlers gold shot was insane,Positive,43,curve chandlers gold shot insane
The curve on chandlers golf shot was insanethats crazy bro,Positive,58,curve chandlers golf shot insanethats crazy bro
congratulations speed,Positive,21,congratulations speed
Support,Positive,7,support
Why'd l get so excited when Speed and Chandler won!!!!!!,Positive,56,whyd l get excited speed chandler
"Nolan casually saying "" Come with me,"" as ominously as possible is crazy",Neutral,72,nolan casually saying come ominously possible crazy
bro was in creative mode,Positive,24,bro creative mode
"Kayla Had to get the , as a consolation prize An sorry alone is not enough",Neutral,74,kayla get consolation prize sorry alone enough
"Straight to the point, love it.",Positive,31,straight point love
that's definitely not a child,Neutral,29,thats definitely child
Chandler we love you,Positive,20,chandler love
Next time do silver back gorilla and man hehe,Neutral,45,next time silver back gorilla man hehe
speed was very serious that moment,Neutral,34,speed serious moment
Chandlers shot was awesome,Positive,26,chandlers shot awesome
That curve on DJ Khalid’s Stoma- I mean- uh- that curve on chandlers golf shot was amazing!,Positive,91,curve dj khalids stoma mean uh curve chandlers golf shot amazing
"Brian Shaw, the strongman in the video, is a legend. He no longer focuses on strength but hes still one of the strongest men in the world.",Positive,138,brian shaw strongman video legend longer focuses strength hes still one strongest men world
Wow! I am impressed with the tug o'war! Fun to watch! :),Positive,56,wow impressed tug owar fun watch
they wanted money instead,Neutral,25,wanted money instead
We need more of these videos!!!,Positive,31,need videos
Bro is to OG,Positive,12,bro og
I love you from Iraq,Positive,20,love iraq
A non track teenager nearly beat the fastest woman in the world,Positive,63,non track teenager nearly beat fastest woman world
Where's the million dollars man... got me rollin,Neutral,48,wheres million dollars man got rollin
WOW! THAT SHOT BY CHANDLER WAS THE MOST EPIC SHOT I'VE EVER SEEN BECAUSE EVEN CURVA KICKED THE BALL IN THE AIR,Positive,110,wow shot chandler epic shot ive ever seen even curva kicked ball air
Speed always wins,Positive,17,speed always wins
Now do men vs child,Neutral,19,men vs child
life is roblox,Neutral,14,life roblox
Defeating a goat doesn't make you one.,Neutral,38,defeating goat doesnt make one
THE BEAST,Positive,9,beast
love the uploads,Positive,16,love uploads
Fortnite emoting is pure cinema,Positive,31,fortnite emoting pure cinema
We the Beat,Positive,11,beat
Nice video,Positive,10,nice video
I said where’s the prize money,Neutral,30,said wheres prize money
All they need now is the Rock,Neutral,29,need rock
Bro could beat Ronaldo but couldn't beat speed,Neutral,46,bro could beat ronaldo couldnt beat speed
speed comeback is crazyy,Positive,24,speed comeback crazyy
rainbows and horses,Neutral,19,rainbows horses
somebody was in the plane,Neutral,25,somebody plane
literally proved of anyone can beat a gorilla,Positive,45,literally proved anyone beat gorilla
bro he was not even trying,Neutral,26,bro even trying
I love your video,Positive,17,love video
The strongmen lost because they didn’t have Eddie Hall and The Mountain,Negative,71,strongmen lost didnt eddie hall mountain
speed revenge,Positive,13,speed revenge
bro we saw it,Neutral,13,bro saw
chander for president!,Positive,22,chander president
if he didn’t lob it he would’ve made it,Neutral,39,didnt lob wouldve made
where’s Eddie hall,Neutral,18,wheres eddie hall
i dont think strongest men was trying,Negative,37,dont think strongest men trying
Wait I can see someone in the cockpit driving it haha,Neutral,53,wait see someone cockpit driving haha
i'm sorry what did the boy just say ??? Anyone heard that too ?????,Neutral,67,im sorry boy say anyone heard
“We’re aura” is hilarious.,Positive,26,aura hilarious
bro what,Neutral,8,bro
nah this wasn't a joke,Neutral,22,nah wasnt joke
lost potential,Neutral,14,lost potential
Bro where's the tension in the rope?,Neutral,36,bro wheres tension rope
Why is this video recommended to me years later?,Neutral,48,video recommended years later
Speed really locked in,Neutral,22,speed really locked
Next video gorilla VS man,Neutral,25,next video gorilla vs man
Captain America,Positive,15,captain america
Speed can do anything for ronaldo,Positive,33,speed anything ronaldo
The curse shot by chandler was Actually big W,Positive,45,curse shot chandler actually big w
Now we await the W Speed edits,Positive,30,await w speed edits
Am I the only one who doesn’t realize how fast time passes while watching?,Neutral,74,one doesnt realize fast time passes watching
how about a boxing match?,Neutral,25,boxing match
"It's okay that at the boy is bigger than Nolan. Why did you put him there? At this rate, you could have put him alone against the muscleman.",Neutral,140,okay boy bigger nolan put rate could put alone muscleman
The Strongest Man just unlocked “babysitter mode”,Neutral,49,strongest man unlocked babysitter mode
the celebration,Positive,15,celebration
at this moment they realised they f*cked up,Neutral,43,moment realised fcked
At ishowspeed got raigbait,Neutral,26,ishowspeed got raigbait
I need a blooper reel immediately,Neutral,33,need blooper reel immediately
I love suppporting these small youtubers,Neutral,40,love suporting small youtubers
Imagine losing to middle schoolers and then getting Fortnite emoted on,Neutral,70,imagine losing middle schoolers getting fortnite emoted
before millions,Neutral,15,millions
very nice video,Positive,15,nice video
I need this type of confidence,Positive,30,need type confidence
Most unexpected collabes,Neutral,24,unexpected collabes
what did I get myself into look,Neutral,31,get look
Imagine being the pilot watching this through the cockpit,Neutral,57,imagine pilot watching cockpit
Next Challenge Where A Person Quits Smoking In Days.,Neutral,52,next challenge person quits smoking days
speed bro,Neutral,9,speed bro
person inside the plane,Neutral,23,person inside plane
Brother we are all winners - Khaled,Positive,35,brother winners khaled
Aaluu khaoge,Neutral,12,aaluu khaoge
bro the editors cut out doing the,Neutral,33,bro editors cut
victor wembanyama,Neutral,17,victor wembanyama
sure thing bud,Neutral,14,sure thing bud
Awesome video,Positive,13,awesome video
Green fn,Neutral,8,green fn
Hello!!,Neutral,7,hello
Bro o Ronaldo wasn’t even trying,Neutral,32,bro ronaldo wasnt even trying
BRO,Neutral,3,bro
dj thats wwild,Neutral,14,dj thats wwild
absolute cornball,Neutral,17,absolute cornball
Chandler a legend now,Positive,21,chandler legend
hes lock in,Neutral,11,hes lock
I saw that coming,Positive,17,saw coming
Crazy how an average man almost beat the fastest woman in the world,Positive,67,crazy average man almost beat fastest woman world
New Subscriber,Positive,14,new subscriber
Nice challenge,Positive,14,nice challenge
Best video ever in rhe world,Positive,28,best video ever rhe world
just because of friction,Neutral,24,friction
speed,Positive,5,speed
I thought ts was gonna be a fist fight lol,Neutral,42,thought ts gonna fist fight lol
aura dept,Neutral,9,aura dept
more chandler more chandler!!!!!,Positive,32,chandler chandler
I Really Enjoy This Video,Positive,25,really enjoy video
wait I thought jetpacks didn't exist yet..,Neutral,42,wait thought jetpacks didnt exist yet
is everywhere,Neutral,13,everywhere
Crazy that an average man with little to no training can almost beat the worlds fastest woman.,Positive,94,crazy average man little training almost beat worlds fastest woman
Chandler is a legend,Positive,20,chandler legend
speed is pissed off,Neutral,19,speed pissed
is the best,Positive,11,best
This video made me laugh way more than expected,Positive,47,video made laugh way expected
WHERE IS EDDIE HALL AT,Neutral,22,eddie hall
Simone’s in the cockpit,Neutral,23,simones cockpit
the cameraman,Neutral,13,cameraman
TechnologyTaj,Neutral,13,technologytaj
start of a comeback,Positive,19,start comeback
This is the best part ever!!!!!!!!,Positive,34,best part ever
is that him..?,Neutral,14,
WOW nice video,Positive,14,wow nice video
at this moment he realised,Neutral,26,moment realised
roUnD,Neutral,5,round
Thanku for . subscriber,Positive,23,thanku subscriber
Your going to what,Neutral,18,going
alright buddy,Neutral,13,alright buddy
No way!!!!!!!,Positive,13,way
flaxan mark,Neutral,11,flaxan mark
LIFE IS ROBLO?,Neutral,14,life roblo
Was Finny,Positive,9,finny
Speed and cr is the goat,Positive,24,speed cr goat
bros no.,Neutral,8,bros
COOL VIDEO YOU MADE,Positive,19,cool video made
Why?,Neutral,4,
bro its not not deep,Neutral,20,bro deep
that was awesome,Positive,16,awesome
shouldn't that rope connected to plane be tight as he is pulling it???,Neutral,70,shouldnt rope connected plane tight pulling
un vs Messi,Neutral,11,un vs messi
green fn,Neutral,8,green fn
Bache mann ke sache,Neutral,19,bache mann ke sache
i really love your vedios,Positive,25,really love vedios
Now do CHALLENGE AGAINST STRONGEST ARM WRESTLER LEVAN SAGINASHVILI,Neutral,66,challenge strongest arm wrestler levan saginashvili
You’re the best YouTuber ever I love your videos so much,Positive,56,youre best youtuber ever love videos much
These videos just gets crazier and crazier...,Positive,45,videos gets crazier crazier
WAIT EVERY SATURDAY??? WE GETTING WEEKLY UPLOADS FROM THE BEASTTTTTTTTTTTTTTTT!!!!!!!!,Positive,86,wait every saturday getting weekly uploads beast
